이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,지역,고객 세그먼트
David Moore,1979-09-23,46,여,001-866-881-4539x24133,jacobthompson@yahoo.com,"194 Mitchell Ports, Port Tammietown, LA 18913",nhall,2024-09-19,중형 SUV,Optima / K5,False,2024-10-10,41058363,계좌이체,2,오프라인,2019-05,미국,3
David White,1972-12-10,53,남,578-644-8296,alexandernixon@leonard.info,"062 Simmons Terrace, Edwinland, TN 17022",michaelhernandez,2023-06-25,중형 SUV,Rio(pride),False,2023-12-12,42531016,계좌이체,1,오프라인,2020-10,미국,3
David Smith,1995-08-16,30,남,(292)066-5456x67037,dwilliams@bullock.com,"88257 Watts Mount Apt. 171, Melissafurt, CT 90694",robbinsthomas,2024-07-26,소형 해치백,C'eed,False,2024-08-26,53530418,계좌이체,2,온라인,2023-02,미국,0
Emily Thomas,1998-05-10,27,여,+1-758-158-9186,carolynowens@brown-wong.com,"56210 Maria Green Suite 194, South Dianachester, MA 78058",patrickjames,2024-02-19,대형 세단,Sonet,False,2024-02-22,26356457,신용카드,3,오프라인,2023-06,미국,2
Michael Thomas,1992-08-14,33,여,463-910-2742,gflynn@griffin.biz,"47012 Jennings Summit, Nicoleburgh, DC 53315",ochapman,2023-11-23,준대형 SUV,Telluride,False,2024-03-06,59817812,현금,4,온라인,2020-07,미국,1
Robert White,1967-10-19,58,남,342-148-7630,gkey@miller.com,"885 Michael Cliff Apt. 582, Wrightport, NC 69086",kennethjennings,2022-10-10,중형 SUV,K5,False,2024-12-26,49232887,계좌이체,2,오프라인,2018-06,미국,0
David Davis,1998-02-27,27,남,+1-133-917-2328,christinepadilla@flores-davis.com,"55440 Norris Oval Suite 532, Tinaborough, RI 05817",kjohnson,2024-12-20,대형 SUV,Cerato,False,2025-02-16,29474273,신용카드,6,오프라인,2023-07,미국,2
Jessica Johnson,1972-03-24,53,남,107-178-7896x753,smithmartha@yahoo.com,"7942 Hensley Forks Suite 373, South Melinda, OK 45758",shannonscott,2023-05-30,준중형 SUV,Carens MPV,False,2024-08-14,49148066,현금,1,온라인,2023-02,미국,0
Emily Brown,1996-08-28,29,남,001-122-695-1436x9200,vickiehiggins@brooks.com,"89538 Johnson Mews Suite 013, Adamsshire, NM 73472",rosswalker,2024-04-30,중형 SUV,KX7,False,2024-09-24,29924687,신용카드,1,오프라인,2020-07,미국,3
David Moore,1972-11-04,53,여,610-599-3180x447,murphylaura@hotmail.com,"9490 Juarez Gardens, Robertburgh, AL 50995",smithmichael,2022-06-29,대형 SUV,Carnival (CKD),False,2025-01-14,23020905,계좌이체,1,온라인,2023-07,미국,3
Emily Taylor,1970-12-27,55,남,195.372.8177x4089,xray@hotmail.com,"4516 Lewis Gardens, New Amanda, WY 61035",williamsspencer,2022-09-10,픽업트럭,Syros,False,2025-01-14,44783385,현금,2,오프라인,2021-06,미국,0
Robert Smith,1992-06-29,33,남,+1-287-571-9887,brettgonzales@middleton.biz,"5841 Mary Camp, East Frank, LA 53170",andrewcurtis,2024-04-27,대형 세단,Sorento,False,2024-07-02,37536133,계좌이체,1,오프라인,2020-05,미국,3
Michael Anderson,1998-05-10,27,남,619.410.2829,jenniferdixon@gmail.com,"280 Charles Coves Apt. 265, Lake Kristenmouth, OR 85087",michaelschmidt,2024-01-19,중형 SUV,K4,False,2024-07-18,47691847,계좌이체,2,온라인,2021-11,미국,0
Emily White,1992-07-06,33,여,123.053.2526x00118,samanthasanchez@castillo.net,"USS Michael, FPO AE 83031",garretttaylor,2024-11-26,소형 해치백,Zhipao,False,2025-01-03,29838347,현금,1,오프라인,2018-05,미국,3
Emma Wilson,1992-07-04,33,여,(210)107-4520x500,franklinjennifer@morris.net,"15041 Margaret Stream, Brianland, GA 66517",vwaters,2022-07-02,대형 세단,KX5,False,2024-09-18,42202385,신용카드,1,오프라인,2022-09,미국,3
Robert Smith,1976-08-11,49,여,(703)909-7380x7991,trevorbarry@gmail.com,"5141 James Plain, Port Troychester, AZ 74690",angela48,2023-04-06,대형 세단,Rio(pride),False,2023-12-25,44651558,신용카드,1,온라인,2022-06,미국,0
Emily Moore,1968-09-12,57,남,(753)624-7990,kathyvega@hotmail.com,"5091 Pierce Knolls Suite 364, Lake Selenastad, MA 66822",garcianathan,2024-02-28,대형 세단,Carnival (CKD),False,2025-03-03,22691668,계좌이체,1,온라인,2018-08,미국,3
Emma Davis,1970-01-08,55,남,077.576.6271x0610,kimberlyjohnson@gmail.com,"86828 Marc Village Suite 800, Galvanside, DE 56714",brownabigail,2023-04-16,준대형 SUV,C'eed CUV,False,2023-11-04,67236775,신용카드,2,온라인,2022-04,미국,0
Emma Moore,1995-12-25,30,여,507-481-4443x94469,aross@carlson.com,"383 Joshua Squares, Stacymouth, MA 24130",stevenruiz,2025-02-16,준중형 해치백,EV6,True,2025-03-10,45074505,신용카드,1,온라인,2022-06,미국,0
Jessica Taylor,1970-04-21,55,남,589.961.6001,wilsonlynn@garrett.net,"892 Brian Centers Suite 725, Brandonton, SD 01201",oraymond,2023-08-27,픽업트럭,Sonet,False,2023-09-16,55397598,계좌이체,2,오프라인,2021-01,미국,0
Michael Smith,1982-09-30,43,여,(660)506-8902x55288,stevehansen@gmail.com,"1902 Short Loop, South Sethberg, NM 75223",cjuarez,2024-08-29,대형 SUV,K4,False,2024-09-03,23085892,계좌이체,1,오프라인,2022-06,미국,3
Daniel White,1986-08-11,39,여,301.925.1864,greennathan@yahoo.com,"37447 Melissa Lane, Brettfort, MD 97065",smithjonathan,2024-06-07,준중형 해치백,K2,False,2024-09-01,28673268,현금,1,오프라인,2019-08,미국,3
Robert White,1998-12-30,27,남,(682)012-0215,lmayer@webb.biz,"757 Jessica Parkways Suite 972, Alfredtown, PA 61612",rodneyhurley,2024-06-07,준중형 해치백,K5,False,2024-11-28,39686454,현금,1,오프라인,2020-04,미국,3
Sarah Anderson,1982-01-02,43,남,001-231-511-0817,ferrellmark@jones-montgomery.org,"1765 Alicia Pass Apt. 760, Jonesmouth, DC 47079",haley75,2024-07-18,대형 SUV,EV5,True,2024-10-29,62316307,신용카드,3,오프라인,2020-05,미국,1
Jessica White,1977-07-25,48,남,+1-178-264-0834x443,whitezachary@yahoo.com,"910 Chavez Overpass Suite 663, Tracytown, ID 97566",ryankathleen,2023-02-07,중형 SUV,KX7,False,2023-10-15,42038446,계좌이체,1,오프라인,2020-03,미국,3
Jessica Smith,1968-05-25,57,남,7386543701,tamaraburnett@white.com,"1934 Wells Springs Suite 013, North Jenniferside, DC 34719",james15,2024-05-03,중형 SUV,Optima / K5,False,2024-06-13,29309473,계좌이체,1,온라인,2020-06,미국,3
Emma Johnson,1973-09-22,52,여,001-652-271-0684x66656,antonio29@gmail.com,"4973 Evans Mall, Cherryburgh, CO 92614",kevintran,2024-02-21,대형 세단,KX5,False,2025-01-22,67513741,신용카드,1,온라인,2022-07,미국,0
Daniel White,1984-09-19,41,남,557-213-1913,leahpitts@gmail.com,"767 Guy Brook, Patrickland, SD 10561",staceyjohnson,2024-12-21,중형 세단,Sorento,False,2025-02-03,43879625,현금,3,온라인,2021-10,미국,1
Michael Davis,1977-02-06,48,남,(689)494-9278x36774,slopez@yahoo.com,"4968 Alvarez Motorway Suite 041, New Christopher, DE 64207",cruzbrenda,2023-06-19,준대형 세단,Seltos,False,2024-01-16,33890362,신용카드,1,온라인,2021-07,미국,3
Robert Thomas,1985-05-04,40,남,(839)632-4700,brendabarrett@yahoo.com,"Unit 4712 Box 0073, DPO AE 50684",herreraoscar,2024-08-17,소형 해치백,Cerato,False,2024-10-26,58096581,계좌이체,1,온라인,2021-07,미국,0
Emma Moore,1982-08-13,43,여,(399)776-7532,piercejacqueline@lawson-williams.net,"482 Butler Hill, North Michellehaven, IN 95580",richard00,2024-01-16,대형 SUV,K3,False,2024-04-08,46101861,현금,1,온라인,2018-07,미국,0
Laura Taylor,1992-12-31,33,여,+1-384-738-1063x707,hartbenjamin@taylor.biz,"4649 Branch Ridges, Port Danielstad, ME 08526",jonesmichael,2022-05-08,소형 해치백,KX5,False,2023-08-05,40297010,계좌이체,1,오프라인,2021-07,미국,3
Jessica Anderson,1980-06-14,45,남,781-412-7701x53387,maryjackson@odonnell.net,"874 Brian Park, Jeffreyberg, GA 70833",jason37,2023-11-18,중형 세단,Carnival,False,2023-12-20,22824729,계좌이체,3,오프라인,2020-07,미국,2
Jessica Thomas,1978-09-26,47,남,672-944-2472x22647,darlenerobinson@young.com,"756 Victor Knoll, West Erin, CA 60319",anthonyhess,2024-05-26,픽업트럭,Syros,False,2025-02-20,23335111,계좌이체,2,오프라인,2022-06,미국,3
Robert Moore,1969-12-11,56,여,001-819-242-4129x6359,eugene88@gmail.com,"749 Lisa View, New Jerry, NV 70441",maria45,2023-09-15,준중형 SUV,Pegas,False,2024-04-11,41565275,계좌이체,1,오프라인,2022-08,미국,3
Sarah Taylor,1985-06-15,40,여,442-973-7268x3233,jamesnunez@yahoo.com,"Unit 7378 Box 5139, DPO AE 10507",hancocktheresa,2023-08-25,대형 SUV,Pegas,False,2024-02-08,39656306,계좌이체,3,온라인,2022-08,미국,2
Jessica Taylor,1971-12-29,54,남,(645)696-7570,erodriguez@gmail.com,"833 Jesse Locks, Port Cynthia, MN 44641",martinezmatthew,2024-08-03,중형 세단,Carens MPV,False,2024-11-29,41783470,계좌이체,1,온라인,2018-01,미국,3
Daniel Anderson,1971-12-14,54,여,001-034-113-7320x22017,melissamccoy@nixon.net,"3070 Roman Plains Suite 399, Edwardschester, CT 76020",colleenjuarez,2024-09-07,중형 SUV,Forte,False,2024-10-08,56331198,계좌이체,3,오프라인,2023-09,미국,1
David Davis,1970-02-15,55,여,2984938350,sarahwood@williamson.org,"20130 Hood Tunnel Apt. 323, Mcintyreland, CT 87187",rjames,2022-09-19,중형 세단,K2,False,2023-01-11,27915942,신용카드,2,오프라인,2021-10,미국,3
Jessica Moore,1987-04-24,38,남,644-659-2396,bhoffman@hotmail.com,"47032 Robert Summit, Port Allisonside, TN 25374",harrisvalerie,2024-11-17,준대형 SUV,K4,False,2025-02-14,45393683,신용카드,3,온라인,2023-11,미국,1
Emily Wilson,1980-12-05,45,여,053-888-9312,morgan42@wiley.biz,"09728 Jennifer Extension, East Meghanville, CT 47935",smithrobert,2022-06-12,대형 세단,Seltos,False,2024-12-29,66250568,계좌이체,1,온라인,2020-08,미국,0
David Johnson,1997-08-07,28,남,497.042.0977x66310,matthew19@hodge.com,"5327 Jonathan Wall, Roweburgh, TX 45862",olsonnicholas,2022-11-22,픽업트럭,Accent (HC),False,2023-09-22,46923197,신용카드,1,온라인,2021-09,미국,0
Michael White,1979-10-10,46,남,(750)944-4831,julie36@gmail.com,"1687 Walker Burgs, Gonzalezburgh, TN 41935",qwatson,2024-07-02,준대형 SUV,EV9,True,2024-10-03,53652733,현금,4,온라인,2022-08,미국,1
John Thomas,1991-08-29,34,남,917.013.8988,thomasmanuel@peters-martinez.com,"USNS Byrd, FPO AA 69939",rtaylor,2022-11-05,준중형 SUV,K5,False,2023-05-27,46067271,현금,4,온라인,2019-06,미국,1
Jessica Thomas,1979-09-28,46,남,226-410-1442x3056,kari76@gmail.com,"25174 Kevin Crossing Apt. 843, Lake Susan, IA 92912",grahamrobert,2023-11-26,대형 SUV,Sportage,False,2024-10-26,40414745,현금,1,온라인,2020-11,미국,3
Emma Wilson,1999-06-08,26,여,2687485117,rwilson@yahoo.com,"USCGC Morse, FPO AP 43229",tgray,2024-01-24,대형 세단,KX7,False,2024-05-25,41641171,계좌이체,3,오프라인,2021-04,미국,2
Emily Brown,1993-09-17,32,여,(902)827-7469x482,linda76@gmail.com,"820 Daniel Overpass Suite 835, Lake Joyce, CA 31241",qanderson,2022-12-24,중형 세단,Optima / K5,False,2023-03-05,52019723,신용카드,4,오프라인,2020-10,미국,1
Jessica White,1983-10-29,42,남,(535)217-0572x67798,romanbrandon@francis.com,"9001 Rhonda Ville Suite 323, Bryanshire, MA 49062",alec62,2024-04-23,준중형 해치백,C'eed,False,2024-06-09,39855438,현금,2,온라인,2022-09,미국,3
Laura Wilson,1972-08-23,53,남,6319854480,ucole@yahoo.com,"90651 Bailey Curve Suite 547, South Benjamin, WY 85730",hartmandavid,2022-11-10,대형 SUV,Telluride,False,2023-11-10,67848017,신용카드,1,오프라인,2020-12,미국,0
Michael Davis,1994-11-10,31,여,870.009.8545x069,colleen63@clark.com,"336 Tamara Drives Apt. 376, East Danaton, NM 04703",pwright,2023-12-05,준중형 세단,Seltos,False,2024-10-25,67044857,계좌이체,1,온라인,2019-01,미국,0
Sarah Smith,1967-03-13,58,남,169.760.7904,vjohnson@yahoo.com,"199 Berry Field, Josephland, SD 51456",coxbradley,2024-08-16,준대형 SUV,Syros,False,2025-02-02,25189242,계좌이체,1,온라인,2021-09,미국,3
Sarah White,1974-08-07,51,여,(225)557-4194x50890,ajohnson@gmail.com,"616 David Way, East Nicholas, MD 23120",adamsjeffrey,2023-01-01,중형 SUV,Seltos,False,2024-08-23,54350545,신용카드,2,온라인,2018-10,미국,0
Emily Davis,1981-10-14,44,여,458-164-9461x528,murphysarah@gmail.com,"0794 Scott Square Apt. 608, East Mauriceton, AK 20857",stephaniebaker,2024-08-01,대형 세단,KX5,False,2025-03-15,48399489,현금,1,온라인,2019-09,미국,0
Emma Smith,1994-01-16,31,남,470-675-9650,whitedaniel@mcgee.biz,"48601 Peterson Cliff Apt. 466, West Robert, MI 08922",meghanjones,2022-10-27,대형 세단,Forte,False,2024-12-14,57338076,신용카드,1,온라인,2022-08,미국,0
Jessica Anderson,1966-04-01,59,여,(614)228-4746,olivia36@hotmail.com,"044 Hall Junction Apt. 027, New Clayton, KY 16803",andersontara,2024-11-02,중형 SUV,Accent (HC),False,2024-11-09,61447501,계좌이체,5,오프라인,2020-12,미국,1
Robert Thomas,1987-11-01,38,여,884.193.6263x13494,owenscasey@hotmail.com,"19385 Dennis Ridges Apt. 114, Port Jeffrey, MN 41238",lroth,2025-03-09,준중형 세단,EV9,True,2025-03-19,40033334,현금,1,온라인,2020-02,미국,3
Robert Moore,1964-10-29,61,남,998-831-2060x539,john28@yahoo.com,"99387 Harris Alley, Carterland, NC 59635",lwhitaker,2024-02-15,픽업트럭,Pegas,False,2024-08-01,35646815,신용카드,4,온라인,2023-09,미국,2
John Moore,1964-07-21,61,남,9201887069,karenhernandez@brown-wilson.com,"68073 Ruth Cove, Wareton, NM 20202",gordonmaria,2024-11-19,준중형 세단,Cerato,False,2024-11-22,65059320,계좌이체,2,온라인,2018-12,미국,0
Sarah Wilson,1993-07-25,32,남,(505)655-3400x26716,dtaylor@stewart-leonard.org,"USNV Rich, FPO AP 12769",edavis,2024-07-16,중형 세단,Cerato,False,2024-12-21,22799891,신용카드,3,오프라인,2021-07,미국,2
David Smith,1999-06-10,26,여,421-859-2930,erica49@moore.com,"1661 Amanda Mountain Apt. 010, North Sarah, NJ 30767",sarnold,2024-02-07,준중형 SUV,K5,False,2024-12-14,22268231,신용카드,4,온라인,2019-03,미국,2
Robert Thomas,1986-02-17,39,여,(719)557-2903x413,charles67@hotmail.com,"PSC 3727, Box 2590, APO AA 25579",cheyenne31,2022-11-29,준대형 SUV,K5,False,2023-05-30,34621803,신용카드,1,온라인,2019-06,미국,3
Laura Thomas,1988-09-25,37,남,009-991-2998,alexandra61@sutton.com,"077 Brian Ramp Apt. 204, Maureenshire, NY 62857",chelsea63,2024-06-18,중형 세단,KX7,False,2025-02-28,67939188,신용카드,1,온라인,2021-06,미국,0
Laura Wilson,1984-10-31,41,여,354-681-9662x30037,xgonzalez@mcpherson.com,"80778 Jason Meadow Apt. 614, Randystad, NV 46446",carlzamora,2022-10-28,준중형 해치백,Seltos,False,2024-07-26,57080231,신용카드,1,온라인,2018-09,미국,0
Emily Thomas,1993-05-13,32,남,+1-974-275-7148,yvettebailey@davis.org,"7401 Arnold Loop Suite 849, South Leah, KS 43882",monicalopez,2022-11-17,준대형 SUV,Seltos,False,2024-01-17,65161409,신용카드,2,오프라인,2021-04,미국,0
Daniel Anderson,1966-03-26,59,남,(308)912-2943,wallervictoria@gmail.com,"394 Kyle Curve, North Natalieport, DE 58414",qpetersen,2024-11-24,중형 세단,Tucson(NX4),False,2025-03-27,56612130,신용카드,2,온라인,2020-04,미국,0
Daniel Johnson,1970-11-20,55,여,001-283-249-5110,zjohnson@gmail.com,"69934 Schneider Trafficway, Fordberg, NJ 36276",nalexander,2022-04-03,준중형 해치백,Carens MPV,False,2025-03-17,61634982,계좌이체,1,온라인,2020-08,미국,0
Emily Brown,1995-09-03,30,여,(178)219-2790,pyang@herring-long.com,"5763 Palmer Stream, Leeland, IL 48448",jessica25,2024-08-19,준중형 세단,EV5,True,2025-01-14,62189299,계좌이체,1,온라인,2022-07,미국,0
Michael Thomas,1996-03-19,29,여,564-431-3281x561,oporter@spence.com,"460 Hughes Skyway, Proctorton, DC 38220",changdaniel,2024-04-11,준대형 세단,K3,False,2024-12-09,60677672,계좌이체,2,오프라인,2020-03,미국,0
David Thomas,1997-02-16,28,남,790-848-1527,jonesjessica@gmail.com,"3613 Austin Centers, Randallburgh, GA 25924",gjackson,2022-08-26,대형 SUV,C'eed CUV,False,2025-02-14,66207565,신용카드,1,오프라인,2022-02,미국,0
John Johnson,1995-04-22,30,여,001-911-130-7366,hellis@gonzales.org,"2667 Katherine Circles, Nortonburgh, TN 90882",beverly00,2024-02-20,준대형 SUV,C'eed CUV,False,2024-08-05,61886452,신용카드,3,온라인,2020-09,미국,1
Michael Taylor,1975-03-30,50,여,271-215-1970,stephenrodriguez@yahoo.com,"928 Thomas Oval Suite 178, Albertport, MI 85740",andersonricky,2022-10-13,준대형 SUV,Carnival,False,2024-05-21,61749860,신용카드,3,오프라인,2020-04,미국,1
Emily Thomas,1999-02-11,26,여,370.144.9877x1589,gpeters@thomas.com,"793 Mason Viaduct, Erikmouth, CO 95993",jasminemyers,2022-04-10,중형 세단,Sonet,False,2024-10-08,43160745,현금,1,온라인,2018-08,미국,3
Daniel Brown,1968-10-01,57,남,001-282-775-6539x9837,zperez@gmail.com,"66773 Christopher Dale Apt. 527, Johnton, CA 92255",uthomas,2024-04-22,대형 세단,Sorento,False,2024-09-24,48988095,신용카드,4,오프라인,2021-12,미국,1
Sarah Johnson,1993-11-30,32,여,784-860-5641x310,xlong@gmail.com,"94513 Pitts Avenue Apt. 148, South Angelaton, NE 82636",michelle50,2023-02-10,준대형 세단,Accent (HC),False,2024-10-22,28108776,신용카드,4,온라인,2021-09,미국,2
Michael Anderson,1979-01-16,46,남,+1-262-375-0543x22602,rachael24@gmail.com,"5945 Abbott Center, East Karen, SC 09042",bradynicholas,2022-06-03,대형 SUV,Sorento,False,2022-07-07,51143363,신용카드,3,온라인,2018-12,미국,1
Laura Johnson,1992-04-28,33,남,415.867.9524x087,stewartmelissa@hotmail.com,"5764 Lane Road, Port Kimberly, CT 40370",hudsonlance,2023-06-01,대형 세단,Sportage,False,2024-12-08,34318870,현금,4,오프라인,2022-06,미국,2
Jessica Anderson,1968-06-12,57,남,365-451-9160x0222,regina67@hotmail.com,"2434 Pamela Turnpike Apt. 480, Wardside, CT 39666",qaustin,2022-09-27,대형 세단,Carnival,False,2023-01-24,28945582,현금,1,온라인,2021-05,미국,3
Michael Anderson,1979-05-17,46,남,+1-687-574-1228x76704,sara18@yahoo.com,"90408 William Lodge, Lake Jessica, VT 30844",jessica57,2022-09-03,픽업트럭,KX5,False,2023-11-14,27231687,현금,1,오프라인,2019-10,미국,3
Daniel Davis,1976-10-08,49,여,093.191.2125x953,courtneyball@yahoo.com,"6206 Myers Tunnel Apt. 902, Lauraland, CA 94235",fieldsanthony,2023-10-09,중형 SUV,Zhipao,False,2023-11-04,64237374,계좌이체,1,오프라인,2022-11,미국,0
Emma Brown,1974-10-10,51,남,(155)427-7141x0452,broberts@hotmail.com,"USS Drake, FPO AP 03819",sarah52,2023-11-12,중형 세단,Carnival (CKD),False,2023-12-03,57818372,신용카드,1,온라인,2019-11,미국,0
David Johnson,1987-01-27,38,남,001-185-464-1372x811,jasonturner@ferguson.net,"4859 Murphy Valleys Apt. 657, Port Brianchester, NC 92212",justin32,2024-11-20,중형 SUV,Carnival (CKD),False,2025-03-24,58884670,계좌이체,3,오프라인,2018-07,미국,1
Michael Davis,1966-06-17,59,남,001-811-609-6293x956,patricknguyen@smith.com,"20969 Johnson Square, Owensmouth, CO 47925",kristi56,2022-10-31,대형 세단,KX1,False,2023-08-19,28834151,계좌이체,5,온라인,2022-01,미국,2
David Thomas,1983-07-27,42,여,646.914.5785x9095,williscandace@howard.com,"2510 Collin Walk Apt. 087, East Jeremyburgh, MT 63946",nbarnes,2024-01-12,중형 세단,C'eed,False,2025-03-17,46851063,계좌이체,2,오프라인,2021-04,미국,0
Daniel Smith,1994-07-31,31,남,001-064-108-0910x7299,sjackson@hotmail.com,"7034 Vanessa Underpass, South Lindsayland, AR 07428",denisesampson,2024-05-03,중형 세단,Syros,False,2025-01-01,19051154,신용카드,2,온라인,2023-09,미국,3
Jessica White,1967-01-08,58,여,833-494-3747x50636,annevillarreal@hotmail.com,"USCGC Griffith, FPO AA 76829",johnathancraig,2022-07-08,대형 세단,Pegas,False,2024-01-24,31961801,계좌이체,3,오프라인,2019-08,미국,2
Daniel White,1973-07-25,52,남,(641)650-6433x054,xhudson@hill.biz,"2563 Benjamin Prairie, Lake Eric, WI 10015",wellsdavid,2023-09-28,픽업트럭,Carnival (CKD),False,2025-03-27,45431211,현금,3,오프라인,2020-01,미국,1
