이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,국가,고객 세그먼트,Cluster
Robert Brown,1991-10-25,34,남,001-930-848-8725x63942,sanderswayne@hotmail.com,"272 Ashley Port, Lake Jessica, AZ 29182",qhall,2023-10-25,대형 SUV,Accent,False,2024-04-23,26270000,계좌이체,5,오프라인,2019-03,미국,3,4
Emma Wilson,1967-02-28,58,남,+1-385-677-0051x84498,xvaldez@valdez.biz,"Unit 3865 Box 5779, DPO AE 66277",scotthall,2024-06-07,중형 세단,Sorento,False,2025-02-11,64400000,현금,3,오프라인,2021-04,미국,3,3
Michael Anderson,1983-05-10,42,남,222.591.3651,lmendoza@gmail.com,"30299 Dennis Passage Apt. 920, West Sandra, MO 79059",johnsjessica,2023-06-14,소형 해치백,EV6,True,2023-08-19,72530000,계좌이체,1,온라인,2022-05,미국,1,1
Laura Wilson,1978-12-26,47,남,977.236.9292x984,sandra99@hall.com,"862 Gregory Ridges, Port Amandaville, NJ 86928",rachelryan,2022-04-01,준중형 세단,Tucson,False,2025-02-18,49690000,현금,1,오프라인,2021-07,미국,2,5
Emily White,1993-08-10,32,여,650.863.7659x91624,reneemiller@hotmail.com,"3009 April Lane Apt. 565, East Ronaldshire, KS 70769",ncunningham,2023-06-02,준중형 해치백,G80,False,2024-11-11,84510000,신용카드,1,온라인,2021-05,미국,1,1
Emma Johnson,1991-04-17,34,남,001-368-872-5887x44956,adkinssean@avery.com,"60127 Davis Greens, West Christopher, VA 50875",hmendez,2023-06-19,준중형 세단,NEXO,True,2024-12-22,60370000,신용카드,4,온라인,2018-03,미국,3,4
Daniel Davis,1968-02-27,57,여,001-277-038-4309x88392,john02@shea.com,"380 Samantha Plaza Suite 895, Sylviaview, PA 25997",kspears,2022-04-07,준중형 SUV,GV70,False,2023-05-17,73430000,현금,1,오프라인,2022-08,미국,1,2
Emily Johnson,1976-02-27,49,남,(818)184-5184x89476,katherineali@yahoo.com,"1416 Erica Forks, Robertstad, ND 01775",john16,2025-02-09,준중형 SUV,Kona,True,2025-03-14,41200000,신용카드,1,온라인,2022-02,미국,2,5
David Smith,1969-06-02,56,남,+1-275-539-4237,jillsalas@perez.org,"17908 Melanie Landing, Travisshire, KY 64831",traceymoon,2023-06-09,대형 SUV,Santa Fe,False,2024-04-13,41020000,현금,1,오프라인,2020-10,미국,2,5
John Moore,1979-05-12,46,남,001-920-867-8085x62718,hannah03@yahoo.com,"9428 Young Mountains Suite 527, Clarkstad, MO 37152",iwhite,2024-09-10,소형 해치백,Tucson,False,2024-12-07,43960000,계좌이체,3,온라인,2021-07,미국,3,3
Daniel Anderson,1971-01-16,54,남,001-438-663-2270x2672,jevans@hotmail.com,"203 Woods Roads, South Julieview, MN 73947",maurice61,2023-09-27,대형 SUV,K5,False,2025-03-07,51090000,현금,1,오프라인,2020-01,미국,2,5
Emily Taylor,1977-10-14,48,여,001-982-455-8771,steven22@hotmail.com,"9961 Fernando Forks Suite 544, Nelsonmouth, MN 98529",lgutierrez,2022-05-05,준대형 세단,i20,False,2022-11-15,26560000,신용카드,1,오프라인,2020-05,미국,2,5
Daniel White,1980-03-18,45,남,+1-413-261-1178x00681,christine16@perez-rojas.info,"200 Dalton Islands, Mcdonaldside, OH 58807",tarawolfe,2022-12-31,준대형 세단,Accent,False,2024-12-09,26750000,신용카드,1,오프라인,2019-03,미국,2,5
Emily Moore,1993-11-05,32,여,845.783.1745x64240,mauriceharrison@watts.info,"9308 Lopez Points Suite 632, Claytonbury, CO 55844",zacharymarsh,2024-11-07,픽업트럭,Accent,False,2025-03-21,25280000,신용카드,4,온라인,2019-03,미국,3,4
Robert White,1982-09-30,43,남,846-312-2417x9749,malikhernandez@hotmail.com,"4270 Christopher Bridge, Robinsonchester, WY 65826",steven05,2022-08-02,대형 세단,Ioniq 6,True,2023-03-16,89450000,현금,1,오프라인,2023-01,미국,1,1
Emily Moore,1968-01-22,57,남,618-723-4601x367,gonzalezjill@boyd.info,"2088 Jon Route Suite 350, North Joel, MD 02475",laurarichards,2023-12-05,소형 해치백,i20,False,2024-06-10,23450000,신용카드,4,온라인,2020-05,미국,3,3
Daniel Thomas,1964-11-07,61,여,9792513271,browndeanna@hotmail.com,"73585 Quinn Brooks, Howardberg, AZ 64110",ihansen,2025-03-17,대형 SUV,Sportage,False,2025-03-28,35670000,현금,1,온라인,2021-11,미국,2,5
Laura Smith,1977-02-27,48,남,001-285-574-9821,qphillips@richardson.biz,"593 Le Shoals, Leefort, OH 20703",marcus51,2022-08-27,대형 SUV,Santa Fe,False,2024-11-16,36510000,신용카드,2,온라인,2020-10,미국,2,5
Jessica White,1968-10-13,57,여,2203173109,sfox@hotmail.com,"91037 Taylor Route Apt. 586, Lauraton, RI 35341",navarromary,2022-07-30,중형 SUV,Sportage,False,2023-06-30,40760000,계좌이체,1,온라인,2021-11,미국,0,0
Laura Wilson,1999-08-06,26,여,138-633-8392,mirandabarbara@hotmail.com,"22868 Sandoval Place Suite 558, Meganchester, SC 56939",charlene98,2023-02-26,대형 SUV,NEXO,True,2023-12-14,64640000,계좌이체,5,오프라인,2018-03,미국,3,4
Michael Moore,1981-07-15,44,여,(776)004-9082x404,melissasmith@short.org,"PSC 2107, Box 5224, APO AA 76805",jesseshepherd,2022-08-20,대형 SUV,NEXO,True,2025-01-22,66300000,신용카드,2,온라인,2018-03,미국,1,2
David Anderson,1991-06-15,34,남,001-315-727-9194,dmiller@bailey-montoya.biz,"USS Kane, FPO AE 98500",walterscrystal,2022-06-23,준대형 SUV,G80,False,2023-10-09,74280000,계좌이체,1,오프라인,2021-05,미국,1,1
Daniel Davis,1999-12-06,26,남,5892583206,walkerkeith@yahoo.com,"79086 Miller Parkway Suite 227, South Randall, ID 74054",johnadams,2024-01-28,대형 SUV,Grandeur,False,2024-10-05,58080000,신용카드,6,오프라인,2022-03,미국,3,4
Daniel Thomas,1970-05-05,55,남,665-535-5904,christina79@alexander.com,"110 Stacy Drive, Alexanderville, NV 62260",riverajody,2023-02-23,중형 SUV,Sorento,False,2023-07-31,52680000,신용카드,1,온라인,2021-04,미국,2,5
Laura Thomas,1999-11-08,26,남,001-487-920-6980x42043,marshallsierra@gmail.com,"510 Dillon Run Suite 368, West Toddside, HI 26567",tcastro,2022-05-03,준대형 세단,Santa Fe,False,2022-07-03,33810000,현금,1,온라인,2020-10,미국,2,5
Daniel Davis,1981-01-29,44,남,457.620.5554x38404,raymondstacy@gmail.com,"216 Robert Ports Apt. 649, Shaneberg, SD 18664",michelleparker,2025-03-30,준중형 SUV,Sorento,False,2025-03-30,54370000,현금,2,오프라인,2021-04,미국,1,1
Daniel Smith,1973-06-13,52,남,(292)518-8125x20566,oreese@hotmail.com,"22099 Obrien Ridge, New Jesse, AK 47590",wattsthomas,2024-05-19,준중형 해치백,Sorento,False,2025-01-08,63170000,현금,3,온라인,2021-04,미국,3,3
Michael Johnson,1996-02-23,29,남,001-526-772-2330x604,juliamcneil@gmail.com,"757 Ronald Trail Apt. 965, Carrshire, ND 69344",meyershannon,2022-06-04,준중형 세단,NEXO,True,2023-06-20,63510000,신용카드,1,오프라인,2018-03,미국,1,1
Laura Taylor,1999-07-18,26,남,+1-608-680-3476,steven64@hotmail.com,"PSC 8277, Box 1812, APO AP 91742",phillipmorris,2022-05-08,준대형 세단,EV6,True,2023-02-09,71270000,계좌이체,1,오프라인,2022-05,미국,1,1
Laura Moore,1995-02-13,30,여,001-371-452-1117,millspatrick@hotmail.com,"8602 Cunningham Shoals, East Misty, WI 93830",barneskyle,2024-02-22,준대형 SUV,Avante,False,2024-10-03,21030000,신용카드,1,오프라인,2020-09,미국,2,5
Michael Brown,1976-07-17,49,여,230-940-7778,lyoung@alvarez.org,"830 Eddie Shoal Suite 020, Markland, CT 55152",evanmitchell,2025-01-20,준대형 세단,Sportage,False,2025-03-28,35500000,신용카드,2,오프라인,2021-11,미국,2,5
Michael Anderson,1976-04-26,49,남,950.145.5616x814,davidvillarreal@yahoo.com,"390 Ashley Roads, South Jenniferport, PA 41983",alicia95,2022-10-18,대형 세단,Venue,False,2025-03-10,23990000,현금,4,온라인,2021-01,미국,3,3
Sarah Davis,1998-01-10,27,여,772.934.3010x71396,cookann@hotmail.com,"441 Evans Plaza, Katieville, MA 45243",nramsey,2022-05-15,준중형 SUV,Grandeur,False,2023-02-11,55320000,계좌이체,5,오프라인,2022-03,미국,3,4
Sarah Smith,1977-06-13,48,남,577-027-2785x76084,clarkgina@yahoo.com,"0568 Ashley Loaf, New Darryl, WV 40908",jennifer46,2022-08-12,대형 SUV,i20,False,2024-09-22,21850000,계좌이체,4,온라인,2020-05,미국,3,3
Emily White,1980-06-01,45,여,(743)842-1503x178,jstein@peterson.net,"18230 Hughes Way Apt. 040, West Steventon, NC 86875",andrew43,2023-08-11,준대형 SUV,Venue,False,2024-01-13,24270000,신용카드,1,온라인,2021-01,미국,2,5
Robert Davis,1977-05-07,48,남,485-714-2241x0988,amydunn@thomas-bush.com,"49587 David Mountains, North Patrickland, MO 23960",tjensen,2023-08-29,중형 세단,EV6,True,2024-01-29,81070000,계좌이체,1,온라인,2022-05,미국,1,2
Robert Wilson,1969-08-04,56,남,001-792-171-7477x33294,qwhite@yahoo.com,"7017 Michael Mountain Apt. 459, New Dakota, VT 14523",angela14,2024-07-05,중형 SUV,GV70,False,2024-12-31,75160000,현금,6,오프라인,2022-08,미국,3,3
Laura Davis,1991-07-10,34,여,001-639-382-7615,bmueller@cobb.com,"99758 Lynn Fall Suite 619, Lake Lisafurt, NM 85041",davislisa,2024-09-18,대형 세단,Santa Fe,False,2025-03-12,39110000,현금,1,오프라인,2020-10,미국,2,5
Emma Wilson,1964-04-04,61,여,001-227-846-9973x35494,veronica90@hotmail.com,"Unit 6240 Box 5800, DPO AP 73905",daniel40,2023-03-31,준중형 세단,Accent,False,2024-02-29,19450000,현금,1,온라인,2019-03,미국,0,0
Robert Davis,1991-01-28,34,남,+1-566-668-3272x3865,keithsalas@gmail.com,"027 Proctor Dale, East Dawnchester, NH 91647",dhanson,2024-05-30,준중형 SUV,Venue,False,2024-11-10,19710000,계좌이체,2,온라인,2021-01,미국,0,0
Emily Taylor,1994-11-14,31,남,(532)690-9738x4689,goodashley@hotmail.com,"128 Marshall Common Apt. 371, Chloemouth, WI 01914",egibson,2024-09-07,픽업트럭,G80,False,2025-01-13,81150000,계좌이체,1,온라인,2021-05,미국,1,1
David Davis,1992-11-23,33,남,(442)094-9407x929,lisa90@washington-martinez.com,"2944 Smith Creek Apt. 927, Lindseyview, UT 31459",hwhite,2022-05-21,준중형 세단,Sorento,False,2023-11-04,56090000,신용카드,3,온라인,2021-04,미국,3,4
Michael Davis,1969-12-27,56,남,(927)663-7239,maykarla@gmail.com,"7478 Noah Squares Suite 742, Smithmouth, TX 41878",davisamanda,2023-10-01,준대형 세단,Avante,False,2024-08-31,25320000,신용카드,6,온라인,2020-09,미국,3,3
Emma Thomas,1982-10-18,43,남,441-496-7393x85258,deckeralexander@fox.info,"3009 Brian Ranch Apt. 911, Port Cassandrafurt, WV 85423",pauladominguez,2023-04-28,대형 SUV,NEXO,True,2023-12-12,59830000,신용카드,1,오프라인,2018-03,미국,1,1
Robert Davis,1996-01-09,29,남,+1-174-654-2140x66504,scottvasquez@gmail.com,"712 Robinson Row, South Jenniferville, CA 09730",kimberly07,2022-11-17,준중형 해치백,GV70,False,2022-11-18,72760000,신용카드,2,온라인,2022-08,미국,1,1
Robert Davis,1966-10-27,59,남,+1-642-569-0877x66183,xfinley@martinez-nichols.com,"0158 Miller Mount Suite 328, South Donnaport, MS 14495",tom73,2022-11-03,대형 세단,EV6,True,2022-12-28,73010000,계좌이체,1,오프라인,2022-05,미국,1,2
John Moore,1977-05-21,48,남,9376184787,morganmatthew@williams.net,"931 Jill Overpass, South Rebeccaton, UT 85538",alexischen,2023-07-21,준중형 세단,NEXO,True,2025-03-28,60850000,신용카드,2,온라인,2018-03,미국,1,2
Laura Wilson,1970-11-13,55,남,929.111.7993x136,rnguyen@hotmail.com,"09251 Joshua Throughway Suite 258, South John, AZ 17982",moodycrystal,2023-11-05,준대형 SUV,Kona,True,2024-03-06,33890000,현금,4,온라인,2022-02,미국,3,3
Laura Wilson,1965-04-23,60,남,100.219.4672x3248,lallen@hotmail.com,"791 Bailey Avenue, East David, CT 81624",michelle88,2023-03-06,중형 SUV,Ioniq 6,True,2024-02-29,77650000,계좌이체,1,온라인,2023-01,미국,1,2
Emily Thomas,1978-05-29,47,여,031-277-2200x543,matthew70@gmail.com,"07811 Jennifer Ramp, Robertmouth, WI 14936",jeremy36,2023-02-04,픽업트럭,Tucson,False,2024-09-09,40270000,현금,1,오프라인,2021-07,미국,2,5
Laura Taylor,1979-04-06,46,남,797-062-3972,derek35@yahoo.com,"90421 Ellis Extension, Jeffreyport, GA 84124",belindatran,2023-03-22,준대형 SUV,Tucson,False,2023-05-28,45160000,현금,1,온라인,2021-07,미국,2,5
Daniel Thomas,1992-04-05,33,여,739.774.0633x56939,butlerbradley@quinn-gordon.biz,"177 Christopher Terrace Apt. 632, Kennethland, NJ 88192",evan79,2024-09-22,픽업트럭,Tucson,False,2024-09-26,33500000,신용카드,2,오프라인,2021-07,미국,2,5
Robert Brown,1995-03-14,30,남,262.570.1658x046,kristinmiller@yahoo.com,"501 Diaz River, West Michaelside, CA 74000",devonrogers,2024-07-16,대형 세단,i20,False,2024-08-29,25550000,현금,2,온라인,2020-05,미국,0,0
David Davis,1996-10-22,29,여,001-933-554-8640x1557,harrisonamanda@hotmail.com,"PSC 7951, Box 3711, APO AA 23938",susan11,2022-12-11,소형 해치백,NEXO,True,2024-02-12,62770000,신용카드,1,온라인,2018-03,미국,1,1
David Taylor,1971-11-14,54,여,001-272-380-4682x756,carterbryan@gmail.com,"9557 Ellis Port Apt. 424, South Nathan, WI 06703",michaelbryant,2022-12-14,중형 세단,K5,False,2023-08-20,59310000,신용카드,2,온라인,2020-01,미국,1,2
Robert Smith,1983-08-28,42,남,(222)310-5927,jack80@hotmail.com,"57828 Martinez Burg Suite 727, Ericside, MA 85336",thomas49,2025-01-29,대형 세단,Tucson,False,2025-02-12,43870000,신용카드,1,온라인,2021-07,미국,2,5
Emily Brown,1994-05-01,31,여,170-281-4069x37515,brandywalker@gonzalez-miller.info,"637 Morrison Pass, Lake Michaelberg, NE 48949",swatson,2023-09-17,준중형 SUV,Avante,False,2024-06-15,28900000,신용카드,2,오프라인,2020-09,미국,2,5
Michael Anderson,1985-03-18,40,여,813.767.4266x299,jaredwells@hatfield.biz,"462 Page Throughway Apt. 326, Angelaton, ME 77205",troy73,2022-05-11,대형 SUV,Elantra,False,2022-05-14,36050000,현금,1,오프라인,2020-08,미국,2,5
Laura Brown,1974-09-23,51,여,471-462-7301x471,qcunningham@hotmail.com,"8904 Bonnie Drive, Stevenberg, GA 07433",michael50,2023-06-24,소형 해치백,Ioniq 6,True,2024-02-05,79080000,신용카드,2,오프라인,2023-01,미국,1,2
Laura White,1969-06-22,56,여,321.928.5544x51895,taylorjuan@jenkins-mccall.com,"338 Robert Club, Port Davidtown, MI 41339",don79,2024-06-20,픽업트럭,Sorento,False,2024-10-30,68370000,현금,1,온라인,2021-04,미국,1,2
Daniel Thomas,1975-12-19,50,남,001-401-322-3423x216,smithtodd@williams-rodriguez.net,"40140 Kimberly Rapids Apt. 932, Anthonyberg, WA 36857",michael89,2023-04-10,대형 SUV,Sportage,False,2024-05-06,42790000,현금,4,오프라인,2021-11,미국,3,3
Emma Anderson,1968-11-23,57,남,908-334-2801,lrichardson@gonzales.com,"3836 Kathleen Island Apt. 718, South Kathryn, LA 73525",millertristan,2023-11-18,준중형 세단,Elantra,False,2024-06-25,37250000,현금,2,오프라인,2020-08,미국,2,5
Jessica Johnson,1995-05-05,30,남,+1-473-864-6317x520,sandersalexandra@hotmail.com,"6912 Michael Flat, Jamesfurt, IN 56167",tramirez,2024-09-19,준대형 SUV,Accent,False,2025-01-12,20730000,신용카드,2,오프라인,2019-03,미국,2,5
Daniel Moore,1982-10-27,43,여,001-657-967-8427x11477,anthonyrojas@jimenez.com,"49911 Sparks Flats Suite 778, Amyside, AK 04642",hbeard,2023-11-16,준대형 세단,Ioniq 6,True,2024-10-30,86340000,현금,2,오프라인,2023-01,미국,1,2
John Moore,1985-08-26,40,남,(770)028-4276x2467,rkeller@armstrong.net,"9695 Flores Burgs Apt. 255, Port Patriciamouth, CT 56619",victoria65,2022-06-26,픽업트럭,Grandeur,False,2023-07-10,52260000,현금,2,온라인,2022-03,미국,2,5
Robert Moore,1981-02-04,44,남,491.141.5208,murraymichelle@hotmail.com,"0790 Gray Loaf Suite 917, Lake Emilymouth, NY 87976",garrett45,2024-02-06,준대형 세단,GV70,False,2024-07-11,87090000,신용카드,1,온라인,2022-08,미국,1,1
Robert Taylor,1998-01-23,27,여,+1-183-440-4963x9191,carlos87@yahoo.com,"484 Alvarado Island, South Richard, NY 59906",nicoleburton,2024-06-09,준대형 SUV,Kona,True,2024-08-20,44720000,계좌이체,1,온라인,2022-02,미국,0,0
Robert White,1998-03-20,27,남,748.969.0835,johnfrancis@yahoo.com,"1364 Lucas Glens Apt. 631, East Anthony, ME 61339",bcastro,2024-01-15,중형 세단,Ioniq 6,True,2024-02-12,77340000,현금,1,온라인,2023-01,미국,1,1
Robert Taylor,1977-12-28,48,여,(420)448-2070,edwardskenneth@lester.com,"2319 Alejandra Village, Tylerland, PA 16528",mark96,2023-04-01,준대형 SUV,Grandeur,False,2025-03-27,62570000,계좌이체,5,오프라인,2022-03,미국,3,3
Robert White,1993-01-08,32,여,212.347.6490,holly15@hotmail.com,"2575 Smith Rest, Port Joditon, WY 88528",johnnycruz,2024-12-17,준대형 세단,Avante,False,2025-02-25,22350000,현금,1,온라인,2020-09,미국,0,0
Robert Wilson,1972-07-20,53,여,+1-376-064-4134,ruthwelch@sullivan.info,"6124 Michael Rapids Suite 700, Lake Scott, DC 00904",tgonzalez,2023-07-31,픽업트럭,Elantra,False,2024-10-20,45590000,신용카드,4,온라인,2020-08,미국,3,3
David Johnson,1969-11-03,56,남,238-296-5772,graceserrano@yahoo.com,"2669 Andrew Brooks Apt. 173, Jacquelineburgh, MO 81504",jburke,2022-08-16,대형 세단,EV6,True,2024-03-09,72720000,신용카드,1,오프라인,2022-05,미국,1,2
John Moore,1975-10-28,50,남,001-108-677-1333,julie62@yahoo.com,"3626 Anthony Greens, New Shannon, MN 76903",emiller,2022-10-23,대형 세단,G80,False,2024-03-08,86740000,신용카드,1,오프라인,2021-05,미국,1,2
Michael Taylor,1991-04-20,34,남,+1-366-941-1800x53759,kingchristine@madden-lambert.com,"Unit 8092 Box 4287, DPO AA 61853",christopherpage,2024-02-01,대형 세단,Ioniq 6,True,2024-05-21,87260000,계좌이체,3,오프라인,2023-01,미국,1,1
Sarah Brown,1981-12-19,44,남,502-745-6449,ryan25@hotmail.com,"Unit 2870 Box 3203, DPO AE 05201",tgreen,2024-03-25,대형 세단,Tucson,False,2024-09-10,43130000,현금,3,온라인,2021-07,미국,3,3
Jessica Thomas,1972-02-21,53,여,075.877.7121x5134,karencarson@macdonald.com,"1371 Johnson Springs, South Nathanielville, MD 20656",millermariah,2025-01-18,준대형 세단,GV70,False,2025-03-05,85640000,현금,1,온라인,2022-08,미국,1,2
Daniel Brown,1995-02-22,30,여,+1-490-509-7592x3045,paynecarrie@ross.com,"Unit 6103 Box 2664, DPO AP 99140",davidhenry,2024-01-31,대형 SUV,Accent,False,2024-09-27,19210000,현금,3,오프라인,2019-03,미국,0,0
Jessica White,1973-03-07,52,남,(158)377-6749x961,christina66@gmail.com,"3278 Kelly Mews Apt. 742, Lake Rebecca, IA 69063",dphillips,2024-08-02,준중형 SUV,Avante,False,2024-08-31,25160000,신용카드,2,온라인,2020-09,미국,2,5
Michael Taylor,1967-04-25,58,여,186.617.9454x91801,kristicameron@gmail.com,"9779 Peterson Well Apt. 321, Monicaville, ND 02849",fosteralexander,2025-01-12,준중형 해치백,NEXO,True,2025-02-27,63510000,계좌이체,2,온라인,2018-03,미국,1,2
Michael White,1995-07-24,30,여,001-697-499-5641x220,cabreraheather@trevino.info,"8314 Hernandez Manors, North Gabrielberg, UT 58862",cruiz,2024-09-25,준대형 세단,Sportage,False,2024-11-11,47320000,신용카드,4,오프라인,2021-11,미국,3,4
Laura White,1977-12-12,48,여,960-501-6679x9840,ltucker@hotmail.com,"08069 Tran Grove Suite 717, Shanechester, GA 38251",taylorkim,2024-05-27,준대형 세단,GV70,False,2024-08-20,82180000,신용카드,1,온라인,2022-08,미국,1,2
Robert Taylor,1987-04-29,38,여,+1-724-665-7293x417,jamesobrien@leon.com,"54522 Lindsay Junction, Wilsonbury, OH 29873",vscott,2023-10-03,중형 SUV,Santa Fe,False,2023-11-08,43230000,계좌이체,1,온라인,2020-10,미국,0,0
Emily Davis,1982-06-13,43,여,(891)077-1199,romerogary@pitts.com,"712 Cook Dam Apt. 376, East Maryfort, LA 66695",christopherwatson,2024-01-04,소형 해치백,Ioniq 6,True,2024-10-10,78120000,신용카드,1,오프라인,2023-01,미국,1,2
Robert Davis,1980-12-12,45,여,(863)266-6785,athomas@drake.com,"0602 Tiffany Station, Robertside, ME 95076",regina04,2024-06-27,중형 세단,Tucson,False,2025-02-19,44140000,현금,2,오프라인,2021-07,미국,2,5
Michael Thomas,1974-03-29,51,여,001-673-899-7563x410,vhardy@gmail.com,"18848 Sherman Estate Apt. 089, Johnport, NE 66728",dennismckenzie,2023-05-08,준대형 세단,K5,False,2024-09-05,55430000,계좌이체,1,온라인,2020-01,미국,1,2
Sarah Anderson,1998-10-12,27,남,(101)749-0753x998,kevin92@gray.net,"1266 Christopher Manors Apt. 737, West Ericafurt, OH 68520",lwiggins,2024-05-13,중형 SUV,Elantra,False,2025-01-15,49110000,계좌이체,3,온라인,2020-08,미국,3,4
Robert Thomas,1993-01-22,32,여,762.282.7728x813,kjohnson@hotmail.com,"611 Armstrong Canyon, North Nathan, ME 39033",jjohnson,2022-11-06,대형 SUV,G80,False,2024-08-22,75900000,계좌이체,1,온라인,2021-05,미국,1,1
